date,name,sport,league,season,match type,home team,away team,home score,away score,conductor numeral,result
2026-03-20 07:00:00,Brisbane Roar vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Newcastle Jets women,,,,
2026-03-20 08:00:00,Sydney vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Wellington Phoenix women,,,,
2026-03-21 06:00:00,Perth Glory vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Central Coast Mariners women,,,,
2026-03-22 03:00:00,Canberra United vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Adelaide United women,,,,
2026-03-22 05:00:00,Western Sydney Wanderers vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Melbourne City women,,,,
2026-03-27 08:00:00,Brisbane Roar vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Perth Glory women,,,,
2026-03-28 04:00:00,Adelaide United vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Newcastle Jets women,,,,
2026-03-28 06:00:00,Sydney vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Melbourne Victory women,,,,
2026-03-29 03:00:00,Wellington Phoenix vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Western Sydney Wanderers women,,,,
2026-03-29 05:00:00,Central Coast Mariners vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Canberra United women,,,,
2026-04-03 05:50:00,Adelaide United vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Wellington Phoenix women,,,,
2026-04-03 08:00:00,Perth Glory vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Melbourne Victory women,,,,
2026-04-04 04:00:00,Canberra United vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Brisbane Roar women,,,,
2026-04-04 06:45:00,Central Coast Mariners vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Sydney women,,,,
2026-04-05 06:00:00,Newcastle Jets vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Melbourne City women,,,,
